위험도 순위,행정동,평균 기울기(100점),골목길 비율(100점),교통약자 거주 인구 밀도(100점),교통약자 유발 시설 밀도(100점),불법주정차단속 CCTV 밀도(100점),적치물 밀도(100점),건축물 평균 연령(100점),안전 시설 밀도(100점),최종 보행 위험도 점수
1,은행1동,39.57,95.98,72.39,100.0,0.0,12.95,62.6,14.05,100.0
2,상대원3동,28.96,100.0,100.0,70.69,0.0,48.96,97.36,57.56,99.04
3,태평2동,33.96,94.44,71.43,78.69,0.0,32.22,91.87,31.98,94.9
4,태평3동,26.35,70.37,83.32,87.94,0.0,57.49,91.56,38.89,90.68
5,중앙동,37.29,60.16,48.9,79.92,0.0,50.96,93.63,8.76,85.92
6,신흥1동,27.36,77.72,99.31,84.2,0.0,56.54,95.51,100.0,76.63
7,태평4동,33.77,60.25,66.64,66.67,0.0,20.64,93.19,32.13,70.87
8,단대동,43.78,72.41,41.88,60.21,0.0,8.5,73.28,11.05,70.32
9,은행2동,100.0,65.7,21.83,20.68,0.0,2.42,64.49,7.92,69.41
10,수진1동,25.73,24.89,97.57,98.26,0.0,47.59,95.66,60.19,67.63
11,금광1동,34.23,24.36,49.25,62.12,0.0,65.08,80.86,14.6,60.68
12,신흥2동,35.86,47.14,46.71,26.87,0.0,59.75,78.7,11.49,60.26
13,양지동,80.56,60.78,17.44,10.74,0.0,11.06,81.04,8.69,60.06
14,금광2동,51.15,47.25,49.65,43.48,0.0,17.34,63.23,20.19,55.66
15,신흥3동,17.67,0.0,82.77,67.15,0.0,100.0,96.69,50.89,54.1
16,산성동,20.45,59.07,19.24,54.89,0.0,23.14,91.96,17.29,49.83
17,수내3동,44.76,73.94,14.77,13.42,23.41,5.08,62.67,8.92,48.86
18,위례동,35.6,42.35,23.07,22.18,56.81,22.55,65.12,0.5,48.83
19,정자2동,8.41,19.18,57.25,64.35,91.87,9.97,54.57,8.77,48.22
20,정자동,4.68,54.83,24.31,37.66,100.0,4.82,67.17,7.31,47.14
21,상대원1동,72.15,53.85,7.52,8.13,0.0,6.65,63.86,4.36,45.39
22,야탑3동,56.78,43.55,10.47,22.64,42.12,2.87,54.57,7.06,41.83
23,정자3동,47.31,40.29,12.68,25.85,43.94,19.08,54.57,8.65,41.58
24,분당동,47.39,46.55,12.72,15.61,24.32,5.07,60.69,6.36,37.55
25,판교동,45.14,49.81,6.34,17.0,32.98,12.6,54.57,8.38,37.11
26,운중동,69.74,40.85,2.13,4.73,14.94,6.85,54.57,2.46,36.15
27,서현2동,6.94,36.32,36.7,54.84,17.61,9.17,54.57,6.54,34.51
28,구미동,42.95,36.15,16.09,27.23,23.18,5.16,54.57,5.33,34.22
29,야탑2동,0.0,19.01,57.82,51.36,32.83,12.22,54.57,4.88,33.88
30,서현1동,47.18,39.23,5.63,1.89,58.54,6.53,54.57,4.03,32.45
31,구미1동,37.99,35.66,7.62,11.62,44.59,10.63,54.57,2.74,29.8
32,이매1동,39.46,33.43,13.63,22.66,16.48,10.74,54.57,4.57,29.79
33,성남동,3.45,38.94,36.27,22.61,0.0,16.29,80.36,7.92,29.18
34,수내1동,5.33,22.33,25.38,24.81,97.6,10.12,62.31,5.6,29.05
35,하대원동,36.78,18.4,18.88,21.36,1.92,16.71,79.27,4.15,28.27
36,상대원2동,32.33,27.27,14.23,19.2,0.0,19.23,100.0,21.86,26.66
37,태평1동,26.6,7.84,26.99,30.81,0.0,18.95,91.69,10.2,25.61
38,고등동,63.78,44.88,0.91,1.95,2.35,11.21,16.59,2.11,24.52
39,정자1동,5.51,6.94,30.05,43.57,90.1,20.87,32.11,3.69,24.05
40,야탑1동,2.05,28.01,30.26,21.73,54.12,9.59,54.57,4.95,22.8
41,금곡동,55.09,17.4,9.69,13.94,5.65,7.36,54.57,4.47,22.31
42,수진2동,8.16,0.7,43.81,33.77,0.0,35.96,89.08,18.22,21.89
43,이매2동,1.67,21.39,38.62,41.46,6.52,7.55,54.57,1.88,21.7
44,백현동,25.67,16.24,21.82,35.1,78.01,22.02,0.0,5.97,21.32
45,수내2동,13.67,34.51,14.99,24.63,12.16,21.13,54.57,8.39,20.9
46,복정동,35.53,58.72,3.72,3.7,0.0,1.87,29.76,3.56,20.76
47,도촌동,58.35,37.42,4.65,5.75,3.38,7.04,10.95,0.0,19.85
48,시흥동,60.04,26.22,0.0,0.0,0.0,5.38,30.46,1.37,15.04
49,삼평동,9.75,20.54,11.22,17.44,21.87,16.52,54.57,4.69,10.97
50,신촌동,31.59,30.67,0.68,1.9,0.0,0.0,23.02,9.18,0.0
